# sent_id = aa_000
# text = T'ad faagail bee ec oaieyn ny merriu.
1-2	T'ad	_	_	_	_	_	_	_	
1-2	T'eh	_	_	_	_	_	_	_	
1	T'	bee	VERB	_	Mood=Ind|Tense=Pres	0	root	_	Tá sé
2	eh	eh	PRON	_	_	1	nsubj	_	
3	mooadaghey	mooadaghey	NOUN	_	_	1	xcomp	_	méadaithe
4	liorish	liorish	ADP	_	_	5	case	_	ag
5	fraueyn	fraue	NOUN	_	_	3	obl	_	fréamhacha
6	aerag	aerag	NOUN	_	_	5	nmod	_	aeróg
7	ta	bee	VERB	_	Mood=Ind|Tense=Pres	5	acl:relcl	_	atá
8	çheet	çheet	NOUN	_	_	7	xcomp	_	teacht chun bheith
9	dy	dy	ADP	_	_	10	case	_	
10	ve	ve	NOUN	_	_	8	xcomp	_	
11	kirp	corp	NOUN	_	_	10	obj	_	coirp
12	choonee	coonee	ADJ	_	_	11	amod	_	chúnta
13	.	.	PUNCT	_	_	1	punct	_	.

# sent_id = aa_004
# text = Ta millioonyn dy cho-vreneenyn ushtey ayns y vine sloo d'ushtey.
# text_ga = Tá na milliúin móilín uisce sa bhraon uisce is lú.
1	Ta	bee	VERB	_	Mood=Ind|Tense=Pres	0	root	_	Tá
2	millioonyn	millioon	NOUN	_	_	1	nsubj	_	milliúin
3	dy	dy	ADP	_	_	4	case	_	de
4	cho-vreneenyn	co-vreneen	NOUN	_	_	2	nmod	_	mhóilíní
5	ushtey	ushtey	NOUN	_	_	4	nmod	_	uisce
6	ayns	ayns	ADP	_	_	8	case	_	sa
7	y	yn	DET	_	_	8	det	_	
8	vine	bine	NOUN	_	_	1	obl	_	bhraon
9	sloo	beg	ADJ	_	_	8	amod	_	is lú
10-11	d'ushtey	_	_	_	_	_	_	_	
10	d'	dy	ADP	_	_	11	case	_	d'uisce
11	ushtey	ushtey	NOUN	_	_	8	nmod	_	
12	.	.	PUNCT	_	_	1	punct	_	.

# sent_id = aa_005
# text = She dooinney-ooasle va'n ayr echey.
# text_ga = Is é duine uasal a bhí ina athair.
1	She	she	AUX	_	_	2	cop	_	Is
2	dooinney-ooasle	dooinney-ooasle	NOUN	_	_	0	root	_	duine uasal
3-4	va'n	_	_	_	_	_	_	_	
3	va	bee	VERB	_	Mood=Ind|Tense=Past	2	csubj:cleft	_	a bhí an
4	'n	yn	DET	_	_	5	det	_	
5	ayr	ayr	NOUN	_	_	3	nsubj	_	t-athair
6-7	echey	_	_	_	_	_	_	_	
6	ec	ec	ADP	_	_	7	case	_	aige
7	eh	eh	PRON	_	_	5	nmod	_	
8	.	.	PUNCT	_	_	2	punct	_	.

# sent_id = aa_006
# text = Ren mee drappal seose trooid uinnag ayns ny cleaghyn as va mee my hoie lurg tammylt er y towl jaagh.
1	Ren	jean	VERB	_	Mood=Ind|Tense=Past	0	root	_	Rinne
2	mee	mee	PRON	_	_	1	nsubj	_	mé
3	drappal	drappal	NOUN	_	_	1	xcomp	_	dreapadh
4	seose	seose	ADV	_	_	3	advmod	_	suas
5	trooid	trooid	ADP	_	_	6	case	_	trí
6	uinnag	uinnag	NOUN	_	_	3	obl	_	fhuinneog
7	ayns	ayns	ADP	_	_	9	case	_	sna
8	ny	ny	DET	_	_	9	det	_	
9	cleaghyn	clea	NOUN	_	_	6	nmod	_	díonta
10	as	as	CCONJ	_	_	11	cc	_	agus
11	va	bee	VERB	_	Mood=Ind|Tense=Past	1	conj	_	bhí mé i mo
12	mee	mee	PRON	_	_	11	nsubj	_	
13	my	my	DET	_	Number=Sing|Person=1|Poss=Yes	14	nmod:poss	_	
14	hoie	soie	NOUN	_	_	11	xcomp:pred	_	shuí
15	lurg	lurg	ADP	_	_	16	case	_	i ndiaidh
16	tammylt	tammylt	NOUN	_	_	11	obl	_	tamaill
17	er	er	ADP	_	_	19	case	_	ar
18	y	yn	DET	_	_	19	det	_	an
19	towl	towl	NOUN	_	_	14	obl	_	bpoll
20	jaagh	jaagh	NOUN	_	_	19	nmod	_	deataigh
21	.	.	PUNCT	_	_	1	punct	_	.

# sent_id = aa_007
# text = Myr shoh, t'ou toiggal, cha nel eh agh jannoo ny strimmey as jannoo shickyr dy vel ny coloayrtyssyn jeant as dy vel dy chooilley red aarloo son ymmyd, cre erbee y scenario vees taghyrt.
1	Myr	myr	ADP	_	_	4	advmod	_	Mar seo
2	shoh	shoh	PRON	_	_	1	fixed	_	
3	,	,	PUNCT	_	_	1	punct	_	,
4-5	t'ou	_	_	_	_	_	_	_	
4	t'	bee	VERB	_	Mood=Ind|Tense=Pres	0	root	_	tá tú
5	ou	ou	PRON	_	_	4	nsubj	_	
6	toiggal	toiggal	NOUN	_	_	4	xcomp	_	ag tuiscint
7	,	,	PUNCT	_	_	9	punct	_	,
8	cha	cha	PART	_	_	9	mark	_	níl
9	nel	bee	VERB	_	Mood=Ind|Tense=Pres	4	parataxis	_	
10	eh	eh	PRON	_	_	9	nsubj	_	sé
11	agh	agh	ADP	_	_	12	case	_	ach
12	jannoo	jannoo	NOUN	_	_	9	xcomp	_	ag déanamh
13	ny	ny	PART	_	_	14	mark	_	níos troime
14	strimmey	trome	ADJ	_	_	12	xcomp	_	
15	as	as	CCONJ	_	_	16	cc	_	agus
16	jannoo	jannoo	NOUN	_	_	12	conj	_	déanamh
17	shickyr	shickyr	ADJ	_	_	16	xcomp	_	cinnte
18	dy	dy	PART	_	_	19	mark	_	go bhfuil
19	vel	bee	VERB	_	Mood=Ind|Tense=Pres	17	ccomp	_	
20	ny	ny	DET	_	_	21	det	_	na
21	coloayrtyssyn	coloayrtys	NOUN	_	_	19	nsubj	_	comhráite
22	jeant	jeant	ADJ	_	_	19	xcomp:pred	_	déanta
23	as	as	CCONJ	_	_	25	cc	_	agus
24	dy	dy	PART	_	_	25	mark	_	go bhfuil
25	vel	bee	VERB	_	Mood=Ind|Tense=Pres	19	conj	_	
26	dy	dy	DET	_	_	28	det	_	gach uile
27	chooilley	chooilley	DET	_	_	26	fixed	_	
28	red	red	NOUN	_	_	25	nsubj	_	rud
29	aarloo	aarloo	ADJ	_	_	25	xcomp:pred	_	réidh
30	son	son	ADP	_	_	31	case	_	ar son
31	ymmyd	ymmyd	NOUN	_	_	29	obl	_	úsáid
32	,	,	PUNCT	_	_	33	punct	_	,
33	cre	cre	PRON	_	_	25	advcl	_	cibé
34	erbee	erbee	ADJ	_	_	33	amod	_	
35	y	yn	DET	_	_	36	det	_	an
36	scenario	scenario	NOUN	_	_	33	nsubj	_	scenario
37	vees	bee	VERB	_	Mood=Ind|Tense=Fut	36	acl:relcl	_	a bheidh
38	taghyrt	taghyrt	NOUN	_	_	37	xcomp	_	ag tarlú
39	.	.	PUNCT	_	_	4	punct	_	.

# sent_id = aa_008
# text = Ta'n lioar ass clou.
# text_ga = Tá an leabhar as cló.
1-2	Ta'n	_	_	_	_	_	_	_	
1	Ta	bee	VERB	_	Mood=Ind|Tense=Pres	0	root	_	Tá an
2	'n	yn	DET	_	_	3	det	_	
3	lioar	lioar	NOUN	_	_	1	nsubj	_	leabhar
4	ass	ass	ADP	_	_	5	case	_	as
5	clou	clou	NOUN	_	_	1	xcomp:pred	_	cló
6	.	.	PUNCT	_	_	1	punct	_	.

# sent_id = aa_009
# text = Agh roish shen, haink drogh naight son Eleanor - va'n ayr eck caillit ayns mooirchoor er Langness.
1	Agh	agh	CCONJ	_	_	3	cc	_	Ach
2	roish	roish	ADP	_	_	3	case	_	roimhe
3	shen	shen	PRON	_	_	5	obl	_	sin
4	,	,	PUNCT	_	_	3	punct	_	,
5	haink	tar	VERB	_	Mood=Ind|Tense=Past	0	root	_	tháinig
6	drogh	drogh	ADJ	_	_	7	amod	_	drochscéala
7	naight	naight	NOUN	_	_	5	nsubj	_	
8	son	son	ADP	_	_	9	case	_	ar son
9	Eleanor	Eleanor	PROPN	_	_	5	obl	_	Eleanor
10	-	-	PUNCT	_	_	11	punct	_	-
11-12	va'n	_	_	_	_	_	_	_	
11	va	bee	VERB	_	Mood=Ind|Tense=Past	5	parataxis	_	bhí an
12	'n	yn	DET	_	_	13	det	_	
13	ayr	ayr	NOUN	_	_	11	nsubj	_	t-athair
14-15	eck	_	_	_	_	_	_	_	
14	ec	ec	ADP	_	_	15	case	_	aici
15	ee	ee	PRON	_	_	13	nmod	_	
16	caillit	caillit	ADJ	_	_	11	xcomp:pred	_	caillte
17	ayns	ayns	ADP	_	_	18	case	_	i
18	mooirchoor	mooirchoor	NOUN	_	_	16	obl	_	longbhris
19	er	er	ADP	_	_	20	case	_	ar
20	Langness	Langness	PROPN	_	_	18	nmod	_	Langness
21	.	.	PUNCT	_	_	5	punct	_	.

# sent_id = aa_010
# text = Nish, gow yn baagh braew shoh.
1	Nish	nish	ADV	_	_	3	advmod	_	Anois
2	,	,	PUNCT	_	_	1	punct	_	,
3	gow	gow	VERB	_	Mood=Imp|Number=Sing|Person=2	0	root	_	gabh
4	yn	yn	DET	_	_	5	det	_	an
5	baagh	baagh	NOUN	_	_	3	obj	_	t-ainmhí
6	braew	braew	ADJ	_	_	5	amod	_	breá
7	shoh	shoh	DET	_	_	5	det	_	seo
8	.	.	PUNCT	_	_	3	punct	_	.

# sent_id = aa_011
# text = Ta trimmid çheusthie jeh corrilagh beg jeh'n towse share.
1	Ta	bee	VERB	_	Mood=Ind|Tense=Pres	0	root	_	Tá
2	trimmid	trimmid	NOUN	_	_	1	nsubj	_	brú
3	çheusthie	çheusthie	ADP	_	_	5	case	_	taobh istigh
4	jeh	jeh	ADP	_	_	3	fixed	_	de
5	corrilagh	corrilagh	NOUN	_	_	1	xcomp:pred	_	chodán
6	beg	beg	ADJ	_	_	5	amod	_	beag
7-8	jeh'n	_	_	_	_	_	_	_	
7	jeh	jeh	ADP	_	_	9	case	_	den
8	yn	yn	DET	_	_	9	det	_	
9	towse	towse	NOUN	_	_	5	nmod	_	tomhas
10	share	mie	ADJ	_	_	9	amod	_	is fearr
11	.	.	PUNCT	_	_	1	punct	_	.

# sent_id = aa_012
# text = As haink eh gy-kione, myr v'eh ec padjer ayns ynnyd er-lheh, as e ostyllyn marish: dy denee eh jeu, gra, Cre ta'n pobble dy ghra my-mychione's, quoi mee?
# text_en = And it came to pass, as he was alone praying, his disciples were with him: and he asked them, saying, Whom say the people that I am?
# text_ga = Aon lá amháin agus é i leataobh ag guí agus na deisceabail in éin eacht leis, d'fhiafraigh sé díobh: "Cé hé a deir na sluaite mise?"
1	As	as	CCONJ	_	_	2	cc	_	Agus
2	haink	tar	VERB	_	Mood=Ind|Tense=Past	0	root	_	tháinig
3	eh	eh	PRON	_	_	2	nsubj	_	sé
4-5	gy-kione	_	_	_	_	_	_	_	
4	gy	gy	ADP	_	_	5	case	_	chun críche
5	kione	kione	NOUN	_	_	2	obl	_	
6	,	,	PUNCT	_	_	8	punct	_	,
7	myr	myr	SCONJ	_	_	8	mark	_	mar
8-9	v'eh	_	_	_	_	_	_	_	
8	v'	bee	VERB	_	Mood=Ind|Tense=Past	2	advcl	_	bhí sé
9	eh	eh	PRON	_	_	8	nsubj	_	
10	ec	ec	ADP	_	_	11	case	_	ag
11	padjer	padjer	NOUN	_	_	8	xcomp	_	paidre
12	ayns	ayns	ADP	_	_	13	case	_	in áit
13	ynnyd	ynnyd	NOUN	_	_	8	obl	_	
14-15	er-lheh	_	_	_	_	_	_	_	
14	er	er	ADP	_	_	15	case	_	ar leith
15	lheh	lheh	NOUN	_	_	13	nmod	_	
16	,	,	PUNCT	_	_	8	punct	_	,
17	as	as	CCONJ	_	_	19	cc	_	agus
18	e	e	DET	_	Gender=Masc|Number=Sing|Person=3|Poss=Yes	19	nmod:poss	_	a
19	ostyllyn	ostyl	NOUN	_	_	8	obl	_	dheisceabail
20-21	marish	_	_	_	_	_	_	_	
20	marish	marish	ADP	_	_	21	case	_	leis
21	eh	eh	PRON	_	_	19	nmod	_	
22	:	:	PUNCT	_	_	24	punct	_	:
23	dy	dy	PART	_	_	24	mark	_	gur
24	denee	fenee	VERB	_	Mood=Ind|Tense=Past	2	ccomp	_	d'fhiafraigh
25	eh	eh	PRON	_	_	24	nsubj	_	sé
26-27	jeu	_	_	_	_	_	_	_	
26	jeh	jeh	ADP	_	_	27	case	_	díobh
27	ad	ad	PRON	_	_	24	obl	_	
28	,	,	PUNCT	_	_	29	punct	_	,
29	gra	gra	NOUN	_	_	24	advcl	_	a rá
30	,	,	PUNCT	_	_	31	punct	_	,
31	Cre	cre	PRON	_	_	29	parataxis	_	Céard
32-33	ta'n	_	_	_	_	_	_	_	
32	ta	bee	VERB	_	Mood=Ind|Tense=Pres	31	acl:relcl	_	atá an
33	'n	yn	DET	_	_	34	det	_	
34	pobble	pobble	NOUN	_	_	32	nsubj	_	pobal
35	dy	dy	ADP	_	_	36	case	_	ag rá
36	ghra	gra	NOUN	_	_	32	xcomp	_	
37-39	my-mychione's	_	_	_	_	_	_	_	
37	my	my	ADP	_	_	39	case	_	fúmsa
38	my	my	DET	_	Number=Sing|Person=1|Poss=Yes	39	nmod:poss	_	
39	chione's	chione	NOUN	_	_	36	obl	_	
40	,	,	PUNCT	_	_	41	punct	_	,
41	quoi	quoi	PRON	_	_	36	parataxis	_	cé
42	mee	mee	PRON	_	_	41	nsubj	_	mé
43	?	?	PUNCT	_	_	2	punct	_	?

# sent_id = aa_013
# text = Nagh vel oo maynrey?
# text_ga = Nach bhfuil tú sásta?
1	Nagh	nagh	PART	_	_	2	mark	_	Nach bhfuil
2	vel	bee	VERB	_	Mood=Ind|Tense=Pres	0	root	_	
3	oo	oo	PRON	_	_	2	nsubj	_	tú
4	maynrey	maynrey	ADJ	_	_	3	xcomp:pred	_	sásta
5	?	?	PUNCT	_	_	2	punct	_	?

# sent_id = aa_014
# text = “Ta, dy jarroo, agh cre'n fa v'ou gearree goll jiu ayns ynnyd jeh mairagh?”
# text_ga = "Cinnte, tá. Ach cén fáth an dteastaíonn uait dul anois in ionad amárach?"
1	“	“	PUNCT	_	_	2	punct	_	“
2	Ta	bee	VERB	_	Mood=Ind|Tense=Pres	0	root	_	Tá
3	,	,	PUNCT	_	_	5	punct	_	,
4	dy	dy	PART	_	_	5	mark	_	go deimhin
5	jarroo	jarroo	ADJ	_	_	2	advmod	_	
6	,	,	PUNCT	_	_	5	punct	_	,
7	agh	agh	CCONJ	_	_	8	cc	_	ach
8-9	cre'n	_	_	_	_	_	_	_	
8	cre	cre	PRON	_	_	2	conj	_	cén fáth a raibh tú
9	'n	yn	DET	_	_	10	det	_	
10	fa	fa	NOUN	_	_	8	nsubj	_	
11-12	v'ou	_	_	_	_	_	_	_	
11	v'	bee	VERB	_	Mood=Ind|Tense=Past	10	acl	_	
12	ou	ou	PRON	_	_	11	nsubj	_	
13	gearree	yeearree	NOUN	_	_	11	xcomp	_	ag iarraidh
14	goll	goll	NOUN	_	_	13	xcomp	_	dul
15	jiu	jiu	ADV	_	_	14	advmod	_	inniu
16	ayns	ayns	ADP	_	_	17	case	_	in ionad
17	ynnyd	ynnyd	NOUN	_	_	15	obl	_	
18	jeh	jeh	ADP	_	_	19	case	_	de
19	mairagh	mairagh	NOUN	_	_	17	nmod	_	amárach
20	?	?	PUNCT	_	_	2	punct	_	?
21	”	”	PUNCT	_	_	2	punct	_	”

# sent_id = aa_015
# text = Ta fys mie aym er y freggyrt kiart da'n feysht shen, agh ta mee geearree geaishtagh rish veih'n dooinney hene.
1	Ta	bee	VERB	_	Mood=Ind|Tense=Pres	0	root	_	Tá a fhios
2	fys	fys	NOUN	_	_	1	nsubj	_	
3	mie	mie	ADJ	_	_	2	amod	_	maith
4-5	aym	_	_	_	_	_	_	_	
4	ec	ec	ADP	_	_	5	case	_	agam
5	mee	mee	PRON	_	_	1	obl	_	
6	er	er	ADP	_	_	8	case	_	ar
7	y	yn	DET	_	_	8	det	_	an
8	freggyrt	freggyrt	NOUN	_	_	2	nmod	_	freagra
9	kiart	kiart	ADJ	_	_	8	amod	_	ceart
10-11	da'n	_	_	_	_	_	_	_	
10	da	da	ADP	_	_	12	case	_	don
11	yn	yn	DET	_	_	12	det	_	
12	feysht	feysht	NOUN	_	_	8	nmod	_	ceiste
13	shen	shen	DET	_	_	12	det	_	sin
14	,	,	PUNCT	_	_	16	punct	_	,
15	agh	agh	CCONJ	_	_	16	cc	_	ach
16	ta	bee	VERB	_	Mood=Ind|Tense=Pres	1	conj	_	tá
17	mee	mee	PRON	_	_	16	nsubj	_	mé
18	geearree	yeearree	NOUN	_	_	16	xcomp	_	ag iarraidh
19	geaishtagh	eaishtagh	NOUN	_	_	18	xcomp	_	éisteacht
20-21	rish	_	_	_	_	_	_	_	
20	rish	rish	ADP	_	_	21	case	_	le
21	eh	eh	PRON	_	_	19	obl	_	
22-23	veih'n	_	_	_	_	_	_	_	
22	veih	veih	ADP	_	_	24	case	_	ón
23	yn	yn	DET	_	_	24	det	_	
24	dooinney	dooinney	NOUN	_	_	19	obl	_	duine
25	hene	hene	PRON	_	_	24	nmod	_	féin
26	.	.	PUNCT	_	_	1	punct	_	.

# sent_id = aa_016
# text = Nee yn lhieggey lowal da troggal boalley rish y phurt sthie.
1	Nee	jean	VERB	_	Mood=Ind|Tense=Fut	0	root	_	An é
2	yn	yn	DET	_	_	3	det	_	an
3	lhieggey	lhieggey	NOUN	_	_	1	nsubj	_	leagan
4	lowal	lowal	NOUN	_	_	1	xcomp	_	ceadaithe
5	da	da	ADP	_	_	6	case	_	do
6	troggal	troggal	NOUN	_	_	4	xcomp	_	tógáil
7	boalley	boalley	NOUN	_	_	6	obj	_	balla
8	rish	rish	ADP	_	_	10	case	_	leis
9	y	yn	DET	_	_	10	det	_	an
10	phurt	purt	NOUN	_	_	7	nmod	_	phort
11	sthie	sthie	ADJ	_	_	10	amod	_	istigh
12	.	.	PUNCT	_	_	1	punct	_	.

# sent_id = aa_017
# text = Hurr Balley Chashtal kyndagh rish drogh thooillaghyn sy chied vee jeh'n vlein feed cheead as kiare-jeig.
1	Hurr	surr	VERB	_	Mood=Ind|Tense=Past	0	root	_	D'fhulaing
2	Balley	balley	PROPN	_	_	1	nsubj	_	Baile
3	Chashtal	cashtal	PROPN	_	_	2	nmod	_	Chaisleáin
4	kyndagh	kyndagh	ADP	_	_	7	case	_	mar gheall ar
5	rish	rish	ADP	_	_	4	fixed	_	
6	drogh	drogh	ADJ	_	_	7	amod	_	droch
7	thooillaghyn	thooilley	NOUN	_	_	1	obl	_	tuilte
8-9	sy	_	_	_	_	_	_	_	
8	ayns	ayns	ADP	_	_	11	case	_	sa
9	yn	yn	DET	_	_	11	det	_	
10	chied	kied	NUM	_	_	11	amod	_	chéad
11	vee	mee	NOUN	_	_	1	obl	_	mhí
12-13	jeh'n	_	_	_	_	_	_	_	
12	jeh	jeh	ADP	_	_	14	case	_	den
13	yn	yn	DET	_	_	14	det	_	
14	vlein	blein	NOUN	_	_	11	nmod	_	bhliain
15	feed	feed	NUM	_	_	16	nummod	_	fichead
16	cheead	keead	NUM	_	_	14	appos	_	chéad
17	as	as	CCONJ	_	_	18	cc	_	agus
18	kiare-jeig	kiare-jeig	NUM	_	_	16	conj	_	ceathair déag
19	.	.	PUNCT	_	_	1	punct	_	.

# sent_id = aa_018
# text = As ren ad toshiaght dy vriaght nyn mast' oc hene, quoi jeu yinnagh shoh.
1	As	as	CCONJ	_	_	2	cc	_	Agus
2	ren	jean	VERB	_	Mood=Ind|Tense=Past	0	root	_	thosaigh siad ag
3	ad	ad	PRON	_	_	2	nsubj	_	
4	toshiaght	toshiaght	NOUN	_	_	2	obj	_	
5	dy	dy	ADP	_	_	6	case	_	
6	vriaght	briaght	NOUN	_	_	4	xcomp	_	fhiosrú
7	nyn	nyn	DET	_	Number=Plur|Person=3|Poss=Yes	8	nmod:poss	_	ina measc
8	mast'	mastey	NOUN	_	_	6	obl	_	
9-10	oc	_	_	_	_	_	_	_	
9	ec	ec	ADP	_	_	10	case	_	
10	ad	ad	PRON	_	_	8	nmod	_	
11	hene	hene	PRON	_	_	10	nmod	_	féin
12	,	,	PUNCT	_	_	13	punct	_	,
13	quoi	quoi	PRON	_	_	6	ccomp	_	cé
14-15	jeu	_	_	_	_	_	_	_	
14	jeh	jeh	ADP	_	_	15	case	_	díobh
15	ad	ad	PRON	_	_	13	obl	_	
16	yinnagh	jean	VERB	_	Mood=Cnd	13	acl:relcl	_	dhéanfadh
17	shoh	shoh	PRON	_	_	16	obj	_	seo
18	.	.	PUNCT	_	_	2	punct	_	.

# sent_id = aa_019
# text = Ta mee er chlashtyn jeh cooyl-chassid sleih: as ta aggle er dy chooilley heu choud as t'ad cur nyn ghing cooidjagh, as goaill coyrle dy ghoaill ersooyl my vioys.
1	Ta	bee	VERB	_	Mood=Ind|Tense=Pres	0	root	_	Tá
2	mee	mee	PRON	_	_	1	nsubj	_	mé
3	er	er	ADP	_	_	4	case	_	tar éis cloisteáil
4	chlashtyn	clashtyn	NOUN	_	_	1	xcomp	_	
5	jeh	jeh	ADP	_	_	6	case	_	de
6	cooyl-chassid	cooyl-chassid	NOUN	_	_	4	obl	_	cúlchaint
7	sleih	sleih	NOUN	_	_	6	nmod	_	slua
8	:	:	PUNCT	_	_	10	punct	_	:
9	as	as	CCONJ	_	_	10	cc	_	agus
10	ta	bee	VERB	_	Mood=Ind|Tense=Pres	1	conj	_	tá
11	aggle	aggle	NOUN	_	_	10	nsubj	_	eagla
12	er	er	ADP	_	_	13	case	_	ar
13	dy	dy	DET	_	_	15	det	_	gach uile
14	chooilley	chooilley	DET	_	_	13	fixed	_	
15	heu	çheu	NOUN	_	_	10	xcomp:pred	_	thaobh
16	choud	choud	SCONJ	_	_	18	mark	_	chomh fada agus
17	as	as	SCONJ	_	_	16	fixed	_	
18-19	t'ad	_	_	_	_	_	_	_	
18	t'	bee	VERB	_	Mood=Ind|Tense=Pres	10	advcl	_	tá siad
19	ad	ad	PRON	_	_	18	nsubj	_	
20	cur	cur	NOUN	_	_	18	xcomp	_	ag cur
21	nyn	nyn	DET	_	Number=Plur|Person=3|Poss=Yes	22	nmod:poss	_	a
22	ghing	kione	NOUN	_	_	20	obj	_	gcinn
23	cooidjagh	cooidjagh	ADV	_	_	20	advmod	_	le chéile
24	,	,	PUNCT	_	_	26	punct	_	,
25	as	as	CCONJ	_	_	26	cc	_	agus
26	goaill	goaill	NOUN	_	_	20	conj	_	gabháil
27	coyrle	coyrle	NOUN	_	_	26	obj	_	comhairle
28	dy	dy	ADP	_	_	29	case	_	le gabháil
29	ghoaill	goaill	NOUN	_	_	26	xcomp	_	
30	ersooyl	ersooyl	ADV	_	_	29	advmod	_	chun siúil
31	my	my	DET	_	Number=Sing|Person=1|Poss=Yes	32	nmod:poss	_	m'anam
32	vioys	bioys	NOUN	_	_	29	obj	_	
33	.	.	PUNCT	_	_	1	punct	_	.

# sent_id = aa_020
# text = Ta farraneyn bree elley goaill stiagh cabbil, caabil, yn ym-hayrn, aer broojit, battreeyn, as turbeenyn gas.
1	Ta	bee	VERB	_	Mood=Ind|Tense=Pres	0	root	_	Tá
